query_appid,query_game,metadata_rank,appid,recommended_game,metadata_score,genre_similarity,tag_similarity,play_mode_similarity,shared_genres,shared_tags,shared_play_modes,release_date,pct_pos_total,num_reviews_total,recommendations
1245620,ELDEN RING,36,680420,OUTRIDERS,0.6151,0.8633,0.5122,0.6132,"['action', 'rpg']","['action', 'character customization', 'co op', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'single player']",2021-04-01,66.0,45391.0,45391
1245620,ELDEN RING,37,794260,Outward Definitive Edition,0.6149,0.8196,0.5551,0.5129,['rpg'],"['atmospheric', 'co op', 'difficult', 'fantasy', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'single player']",2022-05-17,73.0,21866.0,21857
1245620,ELDEN RING,38,2585020,New Journey to the West,0.6134,0.814,0.4918,0.7653,"['action', 'rpg']","['3d', 'action', 'action rpg', 'character customization', 'co op', 'multiplayer', 'online co op', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'online co op']",2024-10-22,90.0,11.0,0
1245620,ELDEN RING,39,582010,Monster Hunter: World,0.6129,0.573,0.6361,0.5868,['action'],"['action', 'action rpg', 'atmospheric', 'character customization', 'co op', 'difficult', 'fantasy', 'great soundtrack', 'multiplayer', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'single player']",2018-08-08,89.0,292907.0,296655
1245620,ELDEN RING,40,265300,Lords Of The Fallen™ 2014,0.6128,1.0,0.5695,0.141,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'dark fantasy', 'difficult', 'fantasy', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person', 'violent']",['single player'],2014-10-28,58.0,12685.0,12685
1245620,ELDEN RING,41,1149440,Dragon Marked For Death,0.6101,1.0,0.4056,0.7782,"['action', 'rpg']","['action', 'action rpg', 'co op', 'dark fantasy', 'fantasy', 'multiplayer', 'online co op', 'rpg', 'singleplayer']","['co op', 'multi player', 'online co op', 'single player']",2020-04-21,78.0,881.0,880
1245620,ELDEN RING,42,1206600,Almighty: Kill Your Gods,0.6085,0.7083,0.5245,0.7782,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'co op', 'fantasy', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person']","['co op', 'multi player', 'online co op', 'single player']",2021-05-05,64.0,310.0,310
1245620,ELDEN RING,43,3318670,Multiplayer Barbarians,0.6077,0.7411,0.4541,1.0,"['action', 'rpg']","['3d', 'action', 'co op', 'fantasy', 'multiplayer', 'online co op', 'pvp', 'rpg', 'singleplayer']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2024-11-14,,0.0,0
1245620,ELDEN RING,44,1171690,Wayfinder,0.6063,0.8633,0.4562,0.7782,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'co op', 'fantasy', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'third person']","['co op', 'multi player', 'online co op', 'single player']",2024-10-21,58.0,23000.0,22995
1245620,ELDEN RING,45,438490,GOD EATER 2 Rage Burst,0.606,1.0,0.4466,0.5868,"['action', 'rpg']","['action', 'atmospheric', 'character customization', 'co op', 'great soundtrack', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'third person']","['co op', 'multi player', 'single player']",2016-08-29,80.0,3316.0,3317
1245620,ELDEN RING,46,1925740,Sinderfury,0.6054,1.0,0.3423,1.0,"['action', 'rpg']","['3d', 'action', 'action rpg', 'dark fantasy', 'online co op', 'rpg', 'third person', 'violent']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2024-06-02,59.0,27.0,0
1245620,ELDEN RING,47,1496790,Gotham Knights,0.6047,0.8633,0.4536,0.7782,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'character customization', 'co op', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'third person']","['co op', 'multi player', 'online co op', 'single player']",2022-10-21,68.0,14406.0,14386
1245620,ELDEN RING,48,471550,Nine Parchments,0.6015,1.0,0.4124,0.6938,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'co op', 'fantasy', 'great soundtrack', 'multiplayer', 'online co op', 'rpg', 'singleplayer']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2017-12-05,77.0,3792.0,3782
1245620,ELDEN RING,49,2530310,Gifted: The Tombs,0.5991,0.8223,0.4614,0.7782,"['action', 'rpg']","['3d', 'action', 'action rpg', 'co op', 'dark fantasy', 'fantasy', 'multiplayer', 'online co op', 'rpg', 'singleplayer', 'third person']","['co op', 'multi player', 'online co op', 'single player']",2024-06-19,,0.0,0
1245620,ELDEN RING,50,3049860,Multiplayer Survivors,0.5986,0.8196,0.4062,1.0,['rpg'],"['3d', 'co op', 'multiplayer', 'online co op', 'pvp', 'rpg', 'singleplayer']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2024-06-28,,0.0,0
