query_appid,query_game,rich_text_rank,appid,recommended_game,rich_text_score,release_date,release_year,genres,recommendations,pct_pos_total,num_reviews_total,peak_ccu
578080,PUBG: BATTLEGROUNDS,10,653080,Inflatality,0.200093,2017-10-26,2017,"['Action', 'Casual', 'Indie']",0,66.0,15.0,0
578080,PUBG: BATTLEGROUNDS,11,968460,Mine Royale - Battle Royale,0.188331,2018-11-15,2018,"['Action', 'Adventure', 'Strategy']",0,66.0,15.0,0
578080,PUBG: BATTLEGROUNDS,12,980850,Pixel Battle Royale,0.185234,2019-01-31,2019,"['Action', 'Free To Play', 'Indie']",0,61.0,637.0,0
578080,PUBG: BATTLEGROUNDS,13,3261890,Toy Battlegrounds: Shoot 'Em Up Survival,0.175765,2025-03-03,2025,"['Action', 'Indie', 'Early Access']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,14,2195250,EA SPORTS FC™ 24,0.169501,2023-09-28,2023,"['Simulation', 'Sports']",91709,57.0,91719.0,7395
578080,PUBG: BATTLEGROUNDS,15,3131780,Legends' Battlegrounds,0.167749,2025-01-23,2025,"['Action', 'Indie', 'Early Access']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,16,2140330,Madden NFL 24,0.166563,2023-08-17,2023,"['Simulation', 'Sports', 'Strategy']",7285,47.0,7287.0,336
578080,PUBG: BATTLEGROUNDS,17,2560590,EGG DROP,0.165603,2023-09-05,2023,"['Action', 'Casual']",0,90.0,30.0,0
578080,PUBG: BATTLEGROUNDS,18,840130,Battle Royale: Survivors 究极求生:大逃杀,0.162504,2018-08-29,2018,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Strategy', 'Early Access']",0,43.0,16.0,0
578080,PUBG: BATTLEGROUNDS,19,2598290,P.R.O.T.O.C.O.O.L.,0.15953,2023-09-29,2023,"['Action', 'Casual', 'Indie', 'Early Access']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,20,1428730,BRoS - Battle Royale of Survival,0.157065,2023-03-10,2023,"['Action', 'Early Access']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,21,2776110,Bedroom Battlegrounds,0.15637,2024-11-18,2024,"['Action', 'Strategy']",0,90.0,10.0,0
578080,PUBG: BATTLEGROUNDS,22,1142100,WWE 2K BATTLEGROUNDS,0.154709,2020-09-17,2020,"['Action', 'Sports']",365,67.0,365.0,7
578080,PUBG: BATTLEGROUNDS,23,823940,Virtual Battlegrounds,0.154185,2020-04-15,2020,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Early Access']",404,66.0,404.0,0
